Survived,Sex,Fare,Embarked,FamilySize,AgeAndPclass
0,1,7.25,2,2,66.0
1,0,71.2833,0,2,38.0
1,0,7.925,2,1,78.0
1,0,53.1,2,2,35.0
0,1,8.05,2,1,105.0
0,1,8.4583,1,1,84.0
0,1,51.8625,2,1,54.0
0,1,21.075,2,5,6.0
1,0,11.1333,2,3,81.0
1,0,30.0708,0,2,28.0
1,0,16.7,2,3,12.0
1,0,26.55,2,1,58.0
0,1,8.05,2,1,60.0
0,1,31.275,2,7,117.0
0,0,7.8542,2,1,42.0
1,0,16.0,2,1,110.0
0,1,29.125,1,6,6.0
1,1,13.0,2,1,56.0
0,0,18.0,2,2,93.0
1,0,7.225,0,1,84.0
0,1,26.0,2,1,70.0
1,1,13.0,2,1,68.0
1,0,8.0292,1,1,45.0
1,1,35.5,2,1,28.0
0,0,21.075,2,5,24.0
1,0,31.3875,2,7,114.0
0,1,7.225,0,1,84.0
0,1,263.0,2,6,19.0
1,0,7.8792,1,1,84.0
0,1,7.8958,2,1,84.0
0,1,27.7208,0,1,40.0
1,0,146.5208,0,2,28.0
1,0,7.75,1,1,84.0
0,1,10.5,2,1,132.0
0,1,82.1708,0,2,28.0
0,1,52.0,2,2,42.0
1,1,7.2292,0,1,84.0
0,1,8.05,2,1,63.0
0,0,18.0,2,3,54.0
1,0,11.2417,0,2,42.0
0,0,9.475,2,2,120.0
0,0,21.0,2,2,54.0
0,1,7.8958,0,1,84.0
1,0,41.5792,0,4,6.0
1,0,7.8792,1,1,57.0
0,1,8.05,2,1,84.0
0,1,15.5,1,2,84.0
1,0,7.75,1,1,84.0
0,1,21.6792,0,3,84.0
0,0,17.8,2,2,54.0
0,1,39.6875,2,6,21.0
0,1,7.8,2,1,63.0
1,0,76.7292,0,2,49.0
1,0,26.0,2,2,58.0
0,1,61.9792,0,2,65.0
1,1,35.5,2,1,28.0
1,0,10.5,2,1,42.0
0,1,7.2292,0,1,85.5
1,0,27.75,2,4,10.0
0,1,46.9,2,8,33.0
0,1,7.2292,0,1,66.0
1,0,80.0,2,1,38.0
0,1,83.475,2,2,45.0
0,1,27.9,2,6,12.0
0,1,27.7208,0,1,28.0
1,1,15.2458,0,3,10.5
1,0,10.5,2,1,58.0
0,1,8.1583,2,1,57.0
1,0,7.925,2,7,51.0
0,1,8.6625,2,3,78.0
0,1,10.5,2,1,64.0
0,0,46.9,2,8,48.0
0,1,73.5,2,1,42.0
0,1,14.4542,0,2,78.0
1,1,56.4958,2,1,96.0
0,1,7.65,2,1,75.0
0,1,7.8958,2,1,84.0
0,1,8.05,2,1,84.0
1,1,29.0,2,3,1.66
1,0,12.475,2,1,90.0
0,1,9.0,2,1,66.0
1,1,9.5,2,1,87.0
1,0,7.7875,1,1,84.0
0,1,47.1,2,1,28.0
1,0,10.5,2,1,34.0
1,0,15.85,2,4,99.0
0,1,34.375,2,5,48.0
0,1,8.05,2,1,84.0
1,0,263.0,2,6,23.0
0,1,8.05,2,1,72.0
0,1,8.05,2,1,87.0
0,1,7.8542,2,1,60.0
0,1,61.175,2,2,46.0
0,1,20.575,2,4,78.0
0,1,7.25,2,1,177.0
0,1,8.05,2,1,84.0
0,1,34.6542,0,1,71.0
1,1,63.3583,0,2,23.0
1,0,23.0,2,2,68.0
0,1,26.0,2,2,68.0
0,0,7.8958,2,1,84.0
0,1,7.8958,2,1,84.0
0,1,77.2875,2,2,21.0
0,1,8.6542,2,1,99.0
0,1,7.925,2,3,111.0
0,1,7.8958,2,1,84.0
1,0,7.65,2,1,63.0
1,1,7.775,2,1,84.0
0,1,7.8958,2,1,114.0
1,0,24.15,1,2,84.0
0,1,52.0,2,1,47.0
0,0,14.4542,0,2,43.5
0,1,8.05,2,1,66.0
0,0,9.825,2,2,60.0
0,0,14.4583,0,1,51.0
0,1,7.925,2,1,63.0
0,1,7.75,1,1,211.5
0,1,21.0,2,2,58.0
0,1,247.5208,0,2,24.0
0,0,31.275,2,7,6.0
0,1,73.5,2,3,42.0
0,1,8.05,2,1,84.0
0,1,30.0708,0,2,65.0
1,0,13.0,2,1,65.0
0,1,77.2875,2,2,54.0
1,1,11.2417,0,2,36.0
0,1,7.75,1,1,84.0
1,1,7.1417,2,1,72.0
1,0,22.3583,0,3,84.0
0,1,6.975,2,1,135.0
0,1,7.8958,0,1,99.0
0,1,7.05,2,1,60.0
0,0,14.5,2,2,141.0
1,0,26.0,2,2,58.0
0,1,13.0,2,1,50.0
0,1,15.0458,0,1,46.0
1,0,26.2833,2,3,19.0
0,1,53.1,2,2,37.0
0,1,9.2167,2,1,48.0
0,1,79.2,0,1,24.0
0,0,15.2458,0,3,84.0
1,0,7.75,2,1,66.0
1,0,15.85,2,2,72.0
0,1,6.75,1,1,57.0
0,1,11.5,2,1,36.0
0,1,36.75,2,3,38.0
1,1,7.7958,2,1,81.0
0,0,34.375,2,5,27.0
0,1,26.0,2,3,73.0
0,1,13.0,2,1,84.0
0,1,12.525,2,1,102.0
1,0,66.6,2,2,22.0
0,1,8.05,2,1,166.5
0,1,14.5,2,3,121.5
0,1,7.3125,2,1,84.0
0,1,61.3792,0,2,51.0
1,0,7.7333,1,1,48.0
0,1,8.05,2,1,90.0
0,1,8.6625,2,1,84.0
0,1,69.55,2,11,10.5
0,1,16.1,2,2,132.0
1,0,15.75,2,1,80.0
0,1,7.775,2,1,78.0
0,1,8.6625,2,1,51.0
0,1,39.6875,2,6,3.0
1,1,20.525,2,3,27.0
1,0,55.0,2,2,28.0
0,0,27.9,2,6,135.0
0,1,25.925,2,1,28.0
0,1,56.4958,2,1,84.0
0,1,33.5,2,1,61.0
0,1,29.125,1,6,12.0
1,0,11.1333,2,3,3.0
0,1,7.925,2,1,63.0
0,1,30.6958,0,1,56.0
0,1,7.8542,2,3,54.0
0,1,25.4667,2,5,10.5
0,0,28.7125,0,1,50.0
0,1,13.0,2,1,60.0
0,1,0.0,2,1,108.0
0,0,69.55,2,11,84.0
0,1,15.05,0,1,56.0
0,1,31.3875,2,7,27.0
1,1,39.0,2,4,2.0
1,0,22.025,2,3,12.0
0,1,50.0,2,1,28.0
1,0,15.5,1,2,84.0
1,1,26.55,2,1,45.0
0,1,15.5,1,3,120.0
0,1,7.8958,2,1,108.0
1,0,13.0,2,1,64.0
0,1,13.0,2,1,38.0
1,0,7.8542,2,2,57.0
1,1,26.0,2,3,6.0
1,0,27.7208,0,1,44.0
1,0,146.5208,0,1,58.0
0,1,7.75,1,1,84.0
0,1,8.4042,2,2,126.0
1,0,7.75,1,1,84.0
0,0,13.0,2,1,48.0
0,1,9.5,2,1,84.0
0,1,69.55,2,11,84.0
0,1,6.4958,2,1,102.0
0,1,7.225,0,1,136.5
1,1,8.05,2,1,54.0
0,0,10.4625,2,2,6.0
0,1,15.85,2,2,96.0
1,1,18.7875,0,1,78.0
1,0,7.75,1,1,48.0
1,1,31.0,0,1,40.0
0,1,7.05,2,1,72.0
1,0,21.0,2,1,70.0
0,1,7.25,2,1,66.0
0,1,13.0,2,1,60.0
0,1,7.75,1,2,84.0
1,0,113.275,0,2,31.0
1,0,7.925,2,1,81.0
0,1,27.0,2,2,84.0
1,0,76.2917,0,1,32.0
0,1,10.5,2,1,60.0
1,1,8.05,2,1,48.0
0,1,13.0,2,1,54.0
0,1,8.05,2,1,153.0
0,1,7.8958,2,1,84.0
1,1,90.0,2,2,38.0
0,1,9.35,2,1,66.0
1,1,10.5,2,1,38.0
0,1,7.25,2,1,61.5
0,1,13.0,2,1,36.0
0,0,25.4667,2,5,84.0
1,0,83.475,2,2,35.0
0,1,7.775,2,1,87.0
0,1,13.5,2,1,118.0
1,0,31.3875,2,7,15.0
0,1,10.5,2,1,48.0
0,0,7.55,2,1,84.0
0,1,26.0,2,2,88.0
1,0,26.25,2,3,16.0
0,1,10.5,2,1,38.0
0,1,12.275,2,1,66.0
0,0,14.4542,0,2,84.0
1,0,15.5,1,2,84.0
0,1,10.5,2,1,58.0
0,1,7.125,2,1,66.0
0,1,7.225,0,1,90.0
0,1,90.0,1,3,44.0
0,0,7.775,2,1,75.0
1,0,14.5,2,3,48.0
1,1,52.5542,2,3,37.0
0,1,26.0,2,2,108.0
0,1,7.25,2,1,84.0
0,0,10.4625,2,3,87.0
0,1,26.55,2,1,62.0
0,1,16.1,2,2,90.0
0,0,20.2125,2,3,123.0
1,0,15.2458,0,3,87.0
1,0,79.2,0,1,28.0
1,0,86.5,2,1,30.0
1,0,512.3292,0,1,35.0
1,0,26.0,2,2,100.0
0,1,7.75,1,1,84.0
1,1,31.3875,2,7,9.0
0,1,79.65,2,3,52.0
0,1,0.0,2,1,40.0
0,0,7.75,1,1,84.0
0,1,10.5,2,1,72.0
0,1,39.6875,2,6,48.0
1,1,7.775,2,2,75.0
1,0,153.4625,2,2,58.0
1,0,135.6333,2,1,35.0
0,1,31.0,2,1,28.0
1,1,0.0,2,1,75.0
1,0,19.5,2,2,82.0
0,1,29.7,0,2,37.0
1,0,7.75,1,1,84.0
1,0,77.9583,2,2,63.0
0,0,7.75,2,1,135.0
0,1,0.0,2,1,56.0
0,1,29.125,1,6,21.0
1,0,20.25,2,3,105.0
0,1,7.75,1,1,195.0
0,1,7.8542,2,1,84.0
0,1,9.5,2,1,48.0
1,1,8.05,2,1,57.0
0,1,26.0,2,1,28.0
0,1,8.6625,0,1,99.0
1,1,9.5,2,1,90.0
0,1,7.8958,2,1,66.0
1,1,13.0,2,1,84.0
1,0,7.75,1,1,66.0
1,0,78.85,2,1,26.0
1,0,91.0792,0,2,19.0
0,1,12.875,0,1,72.0
0,0,8.85,2,1,72.0
0,1,7.8958,2,1,72.0
0,1,27.7208,0,1,28.0
0,1,7.2292,0,1,70.5
0,0,151.55,2,4,2.0
1,1,30.5,2,1,28.0
1,0,247.5208,0,2,50.0
1,0,7.75,1,1,84.0
1,1,23.25,1,3,84.0
0,1,0.0,2,1,57.0
1,0,12.35,1,1,56.0
0,1,8.05,2,1,84.0
1,1,151.55,2,4,0.92
1,0,110.8833,0,1,28.0
1,0,108.9,0,2,17.0
0,1,24.0,0,2,60.0
1,0,56.9292,0,1,30.0
1,0,83.1583,0,1,24.0
1,0,262.375,0,5,18.0
0,0,26.0,2,3,52.0
0,1,7.8958,2,1,84.0
0,1,26.25,2,3,86.0
1,0,7.8542,2,1,78.0
1,0,26.0,2,2,48.0
0,1,14.0,2,1,108.0
1,0,164.8667,2,3,31.0
1,0,134.5,0,3,40.0
0,1,7.25,2,1,66.0
0,1,7.8958,2,1,81.0
1,0,12.35,1,1,60.0
1,0,29.0,2,3,44.0
0,1,69.55,2,11,84.0
1,0,135.6333,0,1,36.0
0,1,6.2375,2,1,183.0
1,0,13.0,2,1,72.0
1,0,20.525,2,3,93.0
1,0,57.9792,0,2,16.0
1,0,23.25,1,3,84.0
0,1,28.5,2,1,45.5
0,1,153.4625,2,2,38.0
0,1,18.0,2,3,48.0
1,0,133.65,2,2,28.0
0,1,7.8958,2,1,84.0
0,1,66.6,2,2,29.0
1,0,134.5,0,1,41.0
1,1,8.05,2,1,135.0
0,1,35.5,2,1,45.0
1,1,26.0,2,3,4.0
1,0,263.0,2,6,24.0
0,1,13.0,2,1,56.0
0,1,13.0,2,1,50.0
0,1,13.0,2,1,72.0
1,0,13.0,2,1,48.0
1,0,13.0,2,1,80.0
1,0,16.1,2,2,84.0
1,1,15.9,2,3,9.0
0,1,8.6625,2,1,126.0
0,1,9.225,2,1,69.0
0,1,35.0,2,1,28.0
0,1,7.2292,0,3,45.0
0,1,17.8,2,2,75.0
0,1,7.225,0,1,84.0
0,1,9.5,2,1,84.0
1,0,55.0,2,2,22.0
0,0,13.0,2,1,76.0
1,0,7.8792,1,1,84.0
1,0,7.8792,1,1,84.0
0,1,27.9,2,6,120.0
0,1,27.7208,0,2,58.0
0,0,14.4542,0,2,135.0
0,1,7.05,2,1,105.0
0,1,15.5,1,2,84.0
0,1,7.25,2,1,90.0
1,0,75.25,0,2,60.0
1,0,7.2292,0,1,84.0
1,0,7.75,1,1,84.0
1,0,69.3,0,1,24.0
1,1,55.4417,0,2,25.0
0,1,6.4958,2,2,54.0
0,1,8.05,2,1,57.0
0,1,135.6333,0,1,22.0
0,0,21.075,2,5,9.0
1,0,82.1708,0,2,28.0
1,0,7.25,2,1,66.0
0,1,211.5,0,3,27.0
0,1,4.0125,0,1,60.0
0,1,7.775,2,1,57.0
1,0,227.525,0,1,42.0
1,0,15.7417,0,3,3.0
0,1,7.925,2,1,96.0
1,0,52.0,2,2,35.0
0,1,7.8958,2,1,84.0
0,1,73.5,2,1,36.0
0,1,46.9,2,8,3.0
1,0,13.0,2,1,72.0
0,1,7.7292,1,1,84.0
1,0,12.0,0,1,34.0
1,1,120.0,2,4,36.0
1,1,7.7958,2,1,63.0
0,1,7.925,2,3,84.0
1,0,113.275,0,2,23.0
1,0,16.7,2,3,72.0
0,1,7.7958,2,1,66.0
0,0,7.8542,2,1,93.0
0,1,26.0,2,1,92.0
0,1,10.5,2,1,46.0
1,0,12.65,2,1,56.0
1,1,7.925,2,1,117.0
0,1,8.05,2,1,78.0
0,0,9.825,2,2,63.0
0,1,15.85,2,2,84.0
0,0,8.6625,2,1,60.0
0,1,21.0,2,2,68.0
0,1,7.75,2,1,153.0
1,1,18.75,2,3,6.0
0,1,7.775,2,1,63.0
0,0,25.4667,2,5,84.0
0,1,7.8958,2,1,84.0
0,1,6.8583,1,1,84.0
1,0,90.0,1,2,33.0
0,1,0.0,2,1,56.0
1,1,7.925,2,1,132.0
0,0,8.05,2,1,84.0
1,0,32.5,2,3,68.0
1,0,13.0,2,3,36.0
0,1,13.0,2,1,60.0
0,0,24.15,2,3,30.0
0,1,7.8958,0,1,84.0
0,1,7.7333,1,1,63.0
0,1,7.875,2,1,87.0
0,0,14.4,2,3,84.0
0,1,20.2125,2,3,54.0
0,1,7.25,2,1,84.0
1,0,26.0,2,2,56.0
1,0,26.0,2,1,38.0
0,1,7.75,1,1,84.0
1,1,8.05,2,1,96.0
1,1,26.55,2,1,28.0
1,0,16.1,2,2,84.0
1,0,26.0,2,2,84.0
0,1,7.125,2,1,51.0
0,1,55.9,2,2,50.0
1,0,120.0,2,4,14.0
0,0,34.375,2,5,63.0
1,0,18.75,2,6,48.0
0,1,263.0,2,6,64.0
0,1,10.5,2,1,62.0
1,0,26.25,2,3,90.0
0,1,9.5,2,1,60.0
0,1,7.775,2,2,75.0
1,0,13.0,2,1,56.0
1,1,8.1125,2,1,84.0
