Survived,Sex,Fare,Embarked,FamilySize,AgeAndPclass
1,1,81.8583,2,3,4.0
1,0,19.5,2,2,26.0
1,1,26.55,2,1,34.0
1,0,19.2583,0,4,15.0
1,1,30.5,2,1,52.0
0,1,27.75,2,4,72.0
0,1,19.9667,2,2,84.0
0,1,27.75,0,1,30.0
1,1,89.1042,0,2,49.0
0,1,8.05,2,1,84.0
1,1,7.8958,0,1,87.0
0,1,26.55,2,1,65.0
1,0,51.8625,2,2,28.0
1,0,10.5,2,1,100.0
0,1,7.75,1,1,84.0
1,1,26.55,2,1,48.0
0,1,8.05,2,1,102.0
0,1,38.5,2,1,47.0
0,1,13.0,2,1,96.0
0,1,8.05,2,1,84.0
0,1,7.05,2,1,114.0
0,1,0.0,2,1,56.0
0,1,26.55,2,1,56.0
0,1,7.725,1,1,84.0
1,0,19.2583,0,4,2.25
0,1,7.25,2,1,84.0
0,1,8.6625,2,1,114.0
1,0,27.75,2,4,66.0
1,0,13.7917,0,1,46.0
0,0,9.8375,2,1,66.0
0,1,52.0,2,1,28.0
0,1,21.0,2,2,68.0
0,1,7.0458,2,2,87.0
0,1,7.5208,2,1,66.0
1,0,12.2875,2,2,6.0
0,1,46.9,2,8,27.0
0,1,0.0,2,1,56.0
0,1,8.05,2,1,150.0
1,0,9.5875,2,1,189.0
1,1,91.0792,0,2,25.0
0,0,25.4667,2,5,84.0
1,0,90.0,2,2,35.0
0,1,29.7,0,1,58.0
0,1,8.05,2,1,90.0
1,1,15.9,2,3,27.0
0,1,19.9667,2,2,84.0
0,1,7.25,2,1,63.0
0,1,30.5,2,1,55.0
0,1,49.5042,0,1,71.0
0,1,8.05,2,1,63.0
0,1,14.4583,0,1,84.0
1,0,78.2667,0,2,54.0
0,1,15.1,2,1,84.0
0,0,151.55,2,4,25.0
0,1,7.7958,2,1,72.0
0,1,8.6625,2,1,51.0
0,0,7.75,1,1,63.0
0,0,7.6292,1,1,84.0
0,0,9.5875,2,1,111.0
1,0,86.5,2,1,16.0
0,1,108.9,0,2,18.0
1,0,26.0,2,3,66.0
1,1,26.55,2,1,28.0
0,1,22.525,2,1,84.0
1,1,56.4958,2,1,78.0
1,1,7.75,1,1,87.0
0,1,8.05,2,1,84.0
1,1,26.2875,2,1,36.0
1,0,59.4,0,2,54.0
0,1,7.4958,2,1,72.0
0,1,34.0208,2,1,47.0
1,0,10.5,2,1,68.0
0,1,24.15,1,1,84.0
1,0,26.0,2,2,72.0
0,1,7.8958,2,1,96.0
1,0,93.5,2,1,30.0
0,1,7.8958,2,1,66.0
0,1,7.225,0,1,84.0
1,0,57.9792,0,2,44.0
0,1,7.2292,0,1,84.0
0,1,7.75,1,1,121.5
1,0,10.5,2,1,100.0
0,1,221.7792,2,1,28.0
0,1,7.925,2,1,117.0
0,1,11.5,2,4,46.0
1,0,26.0,2,3,4.0
0,1,7.2292,0,1,84.0
0,1,7.2292,0,3,51.0
1,0,22.3583,0,3,84.0
0,0,8.6625,2,1,90.0
1,0,26.25,2,3,14.0
0,1,26.55,2,1,45.0
1,0,106.425,0,1,30.0
0,1,14.5,2,1,84.0
1,0,49.5,0,3,22.0
1,0,71.0,2,3,36.0
0,0,31.275,2,7,27.0
0,0,31.275,2,7,33.0
1,1,26.0,2,2,64.0
0,1,106.425,0,2,50.0
0,1,26.0,2,1,64.0
1,0,26.0,2,2,38.0
1,1,13.8625,0,1,56.0
0,1,20.525,2,3,99.0
1,1,36.75,2,3,16.0
1,1,110.8833,0,3,17.0
0,1,26.0,2,1,54.0
0,1,7.8292,1,1,84.0
1,1,7.225,0,1,66.0
1,0,7.775,2,1,66.0
0,1,26.55,2,1,62.0
1,0,39.6,0,2,48.0
0,1,227.525,0,1,28.0
1,0,79.65,2,3,39.0
1,0,17.4,2,2,108.0
0,1,7.75,1,1,84.0
0,1,7.8958,2,1,120.0
0,1,13.5,2,1,56.0
0,1,8.05,2,1,84.0
0,0,8.05,2,1,84.0
0,1,24.15,2,3,72.0
0,1,7.8958,2,1,57.0
0,0,21.075,2,5,87.0
0,1,7.2292,0,1,84.0
1,1,7.8542,2,1,96.0
1,1,10.5,2,1,124.0
1,0,51.4792,2,3,53.0
1,1,26.3875,2,1,36.0
1,0,7.75,1,1,84.0
0,1,8.05,2,1,48.0
0,1,14.5,2,1,57.0
1,0,13.0,2,1,68.0
1,0,55.9,2,2,39.0
0,0,14.4583,0,2,84.0
1,1,7.925,2,1,96.0
1,0,30.0,2,3,50.0
1,0,110.8833,0,3,39.0
0,1,26.0,2,1,108.0
0,1,40.125,0,1,36.0
0,1,8.7125,0,1,84.0
1,0,79.65,2,3,18.0
0,1,15.0,2,1,94.0
1,1,79.2,0,3,60.0
0,1,8.05,2,1,66.0
0,1,8.05,2,1,84.0
0,1,7.125,2,1,105.0
1,0,78.2667,0,2,52.0
0,1,7.25,2,1,141.0
0,0,7.75,1,3,84.0
0,1,26.0,2,2,74.0
0,1,24.15,2,3,108.0
1,0,33.0,2,1,56.0
0,1,0.0,2,1,147.0
0,1,7.225,0,1,84.0
1,1,56.9292,0,2,49.0
1,0,27.0,2,4,48.0
0,1,7.8958,2,1,84.0
0,1,42.4,2,1,28.0
0,1,8.05,2,1,132.0
1,1,26.55,0,1,35.0
0,1,15.55,2,2,108.0
0,1,7.8958,2,1,90.0
1,1,30.5,2,1,27.0
1,0,41.5792,0,4,44.0
1,0,153.4625,2,1,40.0
0,0,31.275,2,7,117.0
0,1,7.05,2,1,84.0
1,0,15.5,1,2,84.0
0,1,7.75,1,1,84.0
0,1,8.05,2,1,105.0
1,0,65.0,2,4,48.0
0,1,14.4,2,3,102.0
0,0,16.1,2,2,78.0
1,0,39.0,2,4,8.0
0,1,10.5,2,1,52.0
0,1,14.4542,0,2,81.0
1,1,52.5542,2,2,42.0
1,1,15.7417,0,3,60.0
0,1,7.8542,2,1,63.0
0,1,16.1,2,1,63.0
0,1,32.3208,2,1,61.0
0,1,12.35,1,1,114.0
1,0,77.9583,2,1,21.0
0,1,7.8958,2,1,78.0
0,1,7.7333,1,1,84.0
1,1,30.0,2,1,80.0
0,1,7.0542,2,1,153.0
1,1,30.5,0,1,32.0
0,1,0.0,2,1,28.0
0,0,27.9,2,6,27.0
1,0,13.0,2,1,56.0
0,1,7.925,2,1,96.0
0,1,26.25,2,3,62.0
0,0,39.6875,2,6,123.0
0,1,16.1,2,2,84.0
0,1,7.8542,2,1,60.0
1,0,69.3,0,1,24.0
0,0,27.9,2,6,6.0
1,1,56.4958,2,1,84.0
1,0,19.2583,0,4,2.25
1,1,76.7292,0,2,48.0
0,1,7.8958,2,1,57.0
1,1,35.5,0,1,56.0
0,1,7.55,2,1,84.0
1,0,7.55,2,1,69.0
0,1,7.8958,2,1,84.0
1,0,23.0,2,2,36.0
0,1,8.4333,2,1,63.0
1,0,7.8292,1,1,84.0
0,0,6.75,1,1,54.0
0,1,73.5,2,3,48.0
0,1,7.8958,2,1,84.0
0,0,15.5,1,3,96.0
0,1,13.0,2,1,46.0
0,1,113.275,0,3,58.0
1,1,133.65,2,3,50.0
0,1,7.225,0,1,120.0
0,1,25.5875,2,1,47.0
0,1,7.4958,2,1,108.0
1,1,7.925,2,2,60.0
0,1,73.5,2,3,64.0
0,1,13.0,2,1,50.0
0,1,7.775,2,1,84.0
0,1,8.05,2,1,129.0
1,0,52.0,2,2,28.0
1,0,39.0,2,3,80.0
0,1,52.0,2,2,31.0
0,1,10.5,2,1,140.0
1,1,13.0,2,1,62.0
0,1,0.0,2,1,56.0
0,1,7.775,2,1,54.0
0,1,8.05,2,1,73.5
1,0,9.8417,2,1,54.0
0,0,46.9,2,8,129.0
1,1,512.3292,0,2,36.0
0,0,8.1375,1,1,84.0
1,1,76.7292,0,1,27.0
0,1,9.225,2,1,60.0
0,1,46.9,2,8,42.0
0,1,39.0,2,3,120.0
0,1,41.5792,0,4,50.0
0,1,39.6875,2,6,42.0
0,1,10.1708,2,1,57.0
0,1,7.7958,2,1,54.0
1,0,211.3375,2,2,15.0
1,1,57.0,2,2,31.0
1,0,13.4167,0,2,12.0
1,1,56.4958,2,1,84.0
0,1,7.225,0,1,75.0
0,1,26.55,2,1,60.0
0,1,13.5,2,1,104.0
0,1,8.05,2,1,132.0
1,0,7.7333,1,1,84.0
0,1,110.8833,0,3,49.0
0,1,7.65,2,1,126.0
1,0,227.525,0,2,18.0
1,1,26.2875,2,1,35.0
0,0,14.4542,0,2,54.0
0,1,7.7417,1,1,75.0
0,1,7.8542,2,2,78.0
0,1,26.0,2,1,78.0
1,0,13.5,2,1,90.0
1,1,26.2875,2,1,42.0
1,0,151.55,2,1,22.0
1,1,15.2458,0,3,10.5
1,0,49.5042,0,1,24.0
0,1,26.55,2,1,28.0
1,1,52.0,2,2,48.0
0,1,9.4833,2,1,87.0
0,1,13.0,2,1,104.0
0,1,7.65,2,1,57.0
1,0,227.525,0,1,38.0
1,0,10.5,2,1,54.0
0,1,15.5,1,1,84.0
0,1,7.775,2,1,99.0
1,0,33.0,2,2,12.0
0,1,7.0542,2,2,51.0
0,1,13.0,2,1,68.0
0,1,13.0,2,1,100.0
1,1,53.1,2,2,27.0
0,1,8.6625,2,1,60.0
1,0,21.0,2,4,60.0
1,0,7.7375,1,1,84.0
0,1,26.0,2,2,50.0
0,0,7.925,2,2,75.0
1,0,211.3375,2,1,29.0
0,1,18.7875,0,1,33.0
0,1,0.0,2,1,56.0
0,1,13.0,2,1,46.0
0,1,13.0,2,1,46.0
0,1,16.1,2,1,85.5
0,0,34.375,2,5,144.0
1,1,512.3292,0,1,35.0
0,1,7.8958,2,1,84.0
0,1,7.8958,2,1,84.0
1,1,30.0,2,1,28.0
0,1,78.85,2,2,36.0
1,0,262.375,0,5,21.0
0,1,16.1,2,2,72.0
1,1,7.925,2,1,93.0
0,1,71.0,2,3,70.0
0,1,20.25,2,3,48.0
1,0,13.0,2,1,60.0
0,1,53.1,2,2,19.0
0,1,7.75,1,1,93.0
1,0,23.0,2,3,8.0
1,1,12.475,2,2,18.0
0,1,9.5,2,1,99.0
0,1,7.8958,2,1,69.0
1,0,65.0,2,4,96.0
1,1,14.5,2,3,1.34
0,1,7.7958,2,1,84.0
0,1,11.5,2,1,36.0
0,1,8.05,2,1,102.0
1,0,86.5,2,1,33.0
0,1,14.5,2,1,84.0
0,1,7.125,2,1,123.0
1,1,7.2292,0,1,60.0
1,0,120.0,2,4,36.0
0,1,7.775,2,1,48.0
1,0,77.9583,2,2,51.0
0,1,39.6,0,1,28.0
0,0,7.75,1,1,91.5
0,1,24.15,1,2,84.0
0,1,8.3625,2,1,96.0
0,1,9.5,2,1,72.0
0,1,7.8542,2,1,144.0
0,0,10.5,2,1,114.0
0,1,7.225,0,1,84.0
1,0,23.0,2,5,108.0
0,1,7.75,2,1,54.0
0,1,7.75,1,1,84.0
1,0,12.475,2,1,15.0
0,1,7.7375,1,1,84.0
1,0,211.3375,2,2,43.0
1,0,7.2292,0,1,39.0
1,0,57.0,2,2,17.0
0,1,30.0,2,1,29.0
0,1,23.45,2,4,84.0
0,1,7.05,2,1,75.0
0,1,7.25,2,1,75.0
1,0,7.4958,2,1,54.0
0,1,29.125,1,6,24.0
1,1,20.575,2,4,3.0
0,1,79.2,0,1,46.0
0,1,7.75,1,1,84.0
0,1,26.0,2,1,32.0
0,0,69.55,2,11,84.0
0,1,30.6958,0,1,28.0
0,1,7.8958,2,1,75.0
0,1,13.0,2,1,78.0
1,0,25.9292,2,1,49.0
1,0,8.6833,2,1,93.0
0,1,7.2292,0,1,90.0
0,0,24.15,2,3,90.0
0,1,13.0,2,1,68.0
1,0,26.25,2,3,62.0
1,1,120.0,2,4,11.0
1,1,8.5167,0,2,1.26
1,1,6.975,2,1,81.0
0,1,7.775,2,1,93.0
0,1,0.0,2,1,39.0
0,0,7.775,2,1,54.0
0,1,13.0,2,1,78.0
1,0,53.1,2,2,33.0
0,1,7.8875,2,1,78.0
0,1,24.15,2,1,117.0
0,1,10.5,2,1,70.0
0,0,31.275,2,7,18.0
0,1,8.05,2,1,91.5
0,1,0.0,2,1,28.0
0,0,7.925,2,1,69.0
0,1,37.0042,0,3,62.0
0,1,6.45,2,1,129.0
0,1,27.9,2,6,30.0
1,0,93.5,2,3,52.0
1,1,8.6625,2,1,81.0
0,1,0.0,2,1,38.0
1,0,12.475,2,2,81.0
0,1,39.6875,2,6,6.0
0,1,6.95,1,1,84.0
0,1,56.4958,2,1,84.0
1,1,37.0042,0,3,2.0
1,1,7.75,1,1,84.0
1,0,80.0,2,1,62.0
1,0,14.4542,0,2,45.0
1,1,18.75,2,3,1.66
0,1,7.2292,0,1,84.0
0,1,7.8542,2,1,69.0
0,1,8.3,2,1,54.0
1,0,83.1583,0,3,39.0
0,1,8.6625,2,1,63.0
0,1,8.05,2,1,84.0
1,1,56.4958,2,1,96.0
1,1,29.7,0,1,28.0
0,1,7.925,2,1,60.0
0,1,10.5,2,1,32.0
1,0,31.0,0,1,30.0
0,1,6.4375,0,1,103.5
0,1,8.6625,2,1,51.0
0,1,7.55,2,1,126.0
0,1,69.55,2,11,84.0
0,1,7.8958,0,1,105.0
0,1,33.0,2,2,56.0
1,0,89.1042,0,2,28.0
0,1,31.275,2,7,12.0
0,1,7.775,2,1,222.0
0,0,15.2458,0,3,27.0
1,0,39.4,2,2,16.0
0,0,26.0,2,2,88.0
1,0,9.35,2,2,54.0
1,0,164.8667,2,3,45.0
1,1,26.55,2,1,51.0
1,0,19.2583,0,4,72.0
0,1,7.2292,0,1,84.0
0,1,14.1083,2,3,123.0
0,1,11.5,2,2,42.0
1,0,25.9292,2,1,48.0
0,0,69.55,2,11,84.0
0,1,13.0,2,1,48.0
1,0,13.0,2,1,84.0
1,0,13.8583,0,2,54.0
0,1,50.4958,2,1,31.0
0,1,9.5,2,1,84.0
1,1,11.1333,2,3,12.0
0,1,7.8958,2,1,78.0
1,0,52.5542,2,3,47.0
0,1,5.0,2,1,33.0
0,1,9.0,2,1,141.0
1,0,24.0,0,2,56.0
1,0,7.225,0,1,45.0
0,1,9.8458,2,1,60.0
0,1,7.8958,2,1,57.0
0,1,7.8958,2,1,84.0
1,0,83.1583,0,2,56.0
1,0,26.0,2,2,50.0
0,1,7.8958,2,1,99.0
0,0,10.5167,2,1,66.0
0,1,10.5,2,1,56.0
0,1,7.05,2,1,75.0
0,0,29.125,1,6,117.0
0,1,13.0,2,1,54.0
1,0,30.0,2,1,19.0
0,0,23.45,2,4,84.0
1,1,30.0,0,1,26.0
0,1,7.75,1,1,96.0
