,Survived,Sex,Embarked,FamilySize,AgeAndPclass,FareTransformed
0,0,1,2,2,66.0,0.9164539485499251
1,1,0,0,2,38.0,1.8590379714909278
2,1,0,2,1,78.0,0.9506082247842308
3,1,0,2,2,35.0,1.7331972651065695
4,0,1,2,1,105.0,0.9566485792052033
5,0,1,1,1,84.0,0.9758130849255795
6,0,1,2,1,54.0,1.7231476981549567
7,0,1,2,5,6.0,1.3439007122496063
8,1,0,2,3,81.0,1.083978935811046
9,1,0,0,2,28.0,1.492352435460081
10,1,0,2,3,12.0,1.2479732663618066
11,1,0,2,1,58.0,1.440121603187804
12,0,1,2,1,60.0,0.9566485792052033
13,0,1,2,7,117.0,1.5088662509384578
14,0,0,2,1,42.0,0.9471493276626374
15,1,0,2,1,110.0,1.2304489213782739
16,0,1,1,6,6.0,1.4789270555829248
17,1,1,2,1,56.0,1.146128035678238
18,0,0,2,2,93.0,1.2787536009528289
19,1,0,0,1,84.0,0.9151359066220119
20,0,1,2,1,70.0,1.4313637641589874
21,1,1,2,1,68.0,1.146128035678238
22,1,0,1,1,45.0,0.9556492729074468
23,1,1,2,1,28.0,1.5622928644564746
24,0,0,2,5,24.0,1.3439007122496063
25,1,0,2,7,114.0,1.5103774259938814
26,0,1,0,1,84.0,0.9151359066220119
27,0,1,2,6,19.0,2.4216039268698313
28,1,0,1,1,84.0,0.9483738383870792
29,0,1,2,1,84.0,0.9491850103134346
30,0,1,0,1,40.0,1.458196532741108
31,1,0,0,2,28.0,2.1688532588793175
32,1,0,1,1,84.0,0.9420080530223133
33,0,1,2,1,132.0,1.0606978403536116
34,0,1,0,2,28.0,1.9199708788780554
35,0,1,2,2,42.0,1.724275869600789
36,1,1,0,1,84.0,0.9153576174148317
37,0,1,2,1,63.0,0.9566485792052033
38,0,0,2,3,54.0,1.2787536009528289
39,1,0,0,2,42.0,1.0878417322991751
40,0,0,2,2,120.0,1.0201540316383328
41,0,0,2,2,54.0,1.3424226808222062
42,0,1,0,1,84.0,0.9491850103134346
43,1,0,0,4,6.0,1.6291974974299364
44,1,0,1,1,57.0,0.9483738383870792
45,0,1,2,1,84.0,0.9566485792052033
46,0,1,1,2,84.0,1.2174839442139063
47,1,0,1,1,84.0,0.9420080530223133
48,0,1,0,3,84.0,1.3556277309213418
49,0,0,2,2,54.0,1.2741578492636798
50,0,1,2,6,21.0,1.6094610059122672
51,0,1,2,1,63.0,0.9444826721501687
52,1,0,0,2,49.0,1.8905841979078102
53,1,0,2,2,58.0,1.4313637641589874
54,0,1,0,2,65.0,1.7991971396636215
55,1,1,2,1,28.0,1.5622928644564746
56,1,0,2,1,42.0,1.0606978403536116
57,0,1,0,1,85.5,0.9153576174148317
58,1,0,2,4,10.0,1.4586378490256493
59,0,1,2,8,33.0,1.6803355134145632
60,0,1,0,1,66.0,0.9153576174148317
61,1,0,2,1,38.0,1.9084850188786497
62,0,1,2,2,45.0,1.926728200446934
63,0,1,2,6,12.0,1.4608978427565478
64,0,1,0,1,28.0,1.458196532741108
65,1,1,0,3,10.5,1.2107411023865056
66,1,0,2,1,58.0,1.0606978403536116
67,0,1,2,1,57.0,0.9618148656833371
68,1,0,2,7,51.0,0.9506082247842308
69,0,1,2,3,78.0,0.9850895069263813
70,0,1,2,1,64.0,1.0606978403536116
71,0,0,2,8,48.0,1.6803355134145632
72,0,1,2,1,42.0,1.8721562727482928
73,0,1,0,2,78.0,1.1890465283525415
74,1,1,2,1,96.0,1.75963612115147
75,0,1,2,1,75.0,0.9370161074648142
76,0,1,2,1,84.0,0.9491850103134346
77,0,1,2,1,84.0,0.9566485792052033
78,1,1,2,3,1.66,1.4771212547196624
79,1,0,2,1,90.0,1.1295287738587763
80,0,1,2,1,66.0,1.0
81,1,1,2,1,87.0,1.021189299069938
82,1,0,1,1,84.0,0.9438653380278803
83,0,1,2,1,28.0,1.6821450763738317
84,1,0,2,1,34.0,1.0606978403536116
85,1,0,2,4,99.0,1.2265999052073575
86,0,1,2,5,48.0,1.5486964485323467
87,0,1,2,1,84.0,0.9566485792052033
88,1,0,2,6,23.0,2.4216039268698313
89,0,1,2,1,72.0,0.9566485792052033
90,0,1,2,1,87.0,0.9566485792052033
91,0,1,2,1,60.0,0.9471493276626374
92,0,1,2,2,46.0,1.7936157939419737
93,0,1,2,4,78.0,1.3339508043872472
94,0,1,2,1,177.0,0.9164539485499251
95,0,1,2,1,84.0,0.9566485792052033
96,0,1,0,1,71.0,1.5521106963024893
97,1,1,0,2,23.0,1.808604563855051
98,1,0,2,2,68.0,1.380211241711606
99,0,1,2,2,68.0,1.4313637641589874
100,0,0,2,1,84.0,0.9491850103134346
101,0,1,2,1,84.0,0.9491850103134346
102,0,1,2,2,21.0,1.8936924247093643
103,0,1,2,1,99.0,0.9847162915819765
104,0,1,2,3,111.0,0.9506082247842308
105,0,1,2,1,84.0,0.9491850103134346
106,1,0,2,1,63.0,0.9370161074648142
107,1,1,2,1,84.0,0.9432471251378617
108,0,1,2,1,114.0,0.9491850103134346
109,1,0,1,2,84.0,1.400537989391946
110,0,1,2,1,47.0,1.724275869600789
111,0,0,0,2,43.5,1.1890465283525415
112,0,1,2,1,66.0,0.9566485792052033
113,0,0,2,2,60.0,1.034427905025403
114,0,0,0,1,51.0,1.1891617314183722
115,0,1,2,1,63.0,0.9506082247842308
116,0,1,1,1,211.5,0.9420080530223133
117,0,1,2,2,58.0,1.3424226808222062
118,0,1,0,2,24.0,2.3953627429574396
119,0,0,2,7,6.0,1.5088662509384578
120,0,1,2,3,42.0,1.8721562727482928
121,0,1,2,1,84.0,0.9566485792052033
122,0,1,0,2,65.0,1.492352435460081
123,1,0,2,1,65.0,1.146128035678238
124,0,1,2,2,54.0,1.8936924247093643
125,1,1,0,2,36.0,1.0878417322991751
126,0,1,1,1,84.0,0.9420080530223133
127,1,1,2,1,72.0,0.9107150957411293
128,1,0,0,3,84.0,1.3684412319555557
129,0,1,2,1,135.0,0.9017306917292187
130,0,1,0,1,99.0,0.9491850103134346
131,0,1,2,1,60.0,0.9057958803678685
132,0,0,2,2,141.0,1.1903316981702914
133,1,0,2,2,58.0,1.4313637641589874
134,0,1,2,1,50.0,1.146128035678238
135,0,1,0,1,46.0,1.2053613747144323
136,1,0,2,3,19.0,1.4358968984299505
137,0,1,2,2,37.0,1.7331972651065695
138,0,1,2,1,48.0,1.0093106410801986
139,0,1,0,1,24.0,1.9041743682841634
140,0,0,0,3,84.0,1.2107411023865056
141,1,0,2,1,66.0,0.9420080530223133
142,1,0,2,2,72.0,1.2265999052073575
143,0,1,1,1,57.0,0.8893017025063102
144,0,1,2,1,36.0,1.0969100130080565
145,0,1,2,3,38.0,1.576916955965207
146,1,1,2,1,81.0,0.9442753457587986
147,0,0,2,5,27.0,1.5486964485323467
148,0,1,2,3,73.0,1.4313637641589874
149,0,1,2,1,84.0,1.146128035678238
150,0,1,2,1,102.0,1.131137273778607
151,1,0,2,2,22.0,1.829946695941636
152,0,1,2,1,166.5,0.9566485792052033
153,0,1,2,3,121.5,1.1903316981702914
154,0,1,2,1,84.0,0.919731658311161
155,0,1,0,2,51.0,1.7950398007222887
156,1,0,1,1,48.0,0.9411783789843933
157,0,1,2,1,90.0,0.9566485792052033
158,0,1,2,1,84.0,0.9850895069263813
159,0,1,2,11,10.5,1.8484970180903666
160,0,1,2,2,132.0,1.2329961103921538
161,1,0,2,1,80.0,1.224014811372864
162,0,1,2,1,78.0,0.9432471251378617
163,0,1,2,1,51.0,0.9850895069263813
164,0,1,2,6,3.0,1.6094610059122672
165,1,1,2,3,27.0,1.3329431601256923
166,1,0,2,2,28.0,1.7481880270062005
167,0,0,2,6,135.0,1.4608978427565478
168,0,1,2,1,28.0,1.4301557119700192
169,0,1,2,1,84.0,1.75963612115147
170,0,1,2,1,61.0,1.5378190950732742
171,0,1,1,6,12.0,1.4789270555829248
172,1,0,2,3,3.0,1.083978935811046
173,0,1,2,1,63.0,0.9506082247842308
174,0,1,0,1,56.0,1.5010017178117605
175,0,1,2,3,54.0,0.9471493276626374
176,0,1,2,5,10.5,1.4226997946774695
177,0,0,0,1,50.0,1.4729391947362367
178,0,1,2,1,60.0,1.146128035678238
179,0,1,2,1,108.0,0.0
180,0,0,2,11,84.0,1.8484970180903666
181,0,1,0,1,56.0,1.2054750367408908
182,0,1,2,7,27.0,1.5103774259938814
183,1,1,2,4,2.0,1.6020599913279623
184,1,0,2,3,12.0,1.3621996388688864
185,0,1,2,1,28.0,1.7075701760979363
186,1,0,1,2,84.0,1.2174839442139063
187,1,1,2,1,45.0,1.440121603187804
188,0,1,1,3,120.0,1.2174839442139063
189,0,1,2,1,108.0,0.9491850103134346
190,1,0,2,1,64.0,1.146128035678238
191,0,1,2,1,38.0,1.146128035678238
192,1,0,2,2,57.0,0.9471493276626374
193,1,1,2,3,6.0,1.4313637641589874
194,1,0,0,1,44.0,1.458196532741108
195,1,0,0,1,58.0,2.1688532588793175
196,0,1,1,1,84.0,0.9420080530223133
197,0,1,2,2,126.0,0.9733218567324377
198,1,0,1,1,84.0,0.9420080530223133
199,0,0,2,1,48.0,1.146128035678238
200,0,1,2,1,84.0,1.021189299069938
201,0,1,2,11,84.0,1.8484970180903666
202,0,1,2,1,102.0,0.8748179903590257
203,0,1,0,1,136.5,0.9151359066220119
204,1,1,2,1,54.0,0.9566485792052033
205,0,0,2,2,6.0,1.0592793486780776
206,0,1,2,2,96.0,1.2265999052073575
207,1,1,0,1,78.0,1.2963909278704124
208,1,0,1,1,48.0,0.9420080530223133
209,1,1,0,1,40.0,1.505149978319906
210,0,1,2,1,72.0,0.9057958803678685
211,1,0,2,1,70.0,1.3424226808222062
212,0,1,2,1,66.0,0.9164539485499251
213,0,1,2,1,60.0,1.146128035678238
214,0,1,1,2,84.0,0.9420080530223133
215,1,0,0,2,31.0,2.0579512299613683
216,1,0,2,1,81.0,0.9506082247842308
217,0,1,2,2,84.0,1.4471580313422192
218,1,0,0,1,32.0,1.88813285953623
219,0,1,2,1,60.0,1.0606978403536116
220,1,1,2,1,48.0,0.9566485792052033
221,0,1,2,1,54.0,1.146128035678238
222,0,1,2,1,153.0,0.9566485792052033
223,0,1,2,1,84.0,0.9491850103134346
224,1,1,2,2,38.0,1.9590413923210936
225,0,1,2,1,66.0,1.0149403497929366
226,1,1,2,1,38.0,1.0606978403536116
227,0,1,2,1,61.5,0.9164539485499251
228,0,1,2,1,36.0,1.146128035678238
229,0,0,2,5,84.0,1.4226997946774695
230,1,0,2,2,35.0,1.926728200446934
231,0,1,2,1,87.0,0.9432471251378617
232,0,1,2,1,118.0,1.1613680022349748
233,1,0,2,7,15.0,1.5103774259938814
234,0,1,2,1,48.0,1.0606978403536116
235,0,0,2,1,84.0,0.9319661147281727
236,0,1,2,2,88.0,1.4313637641589874
237,1,0,2,3,16.0,1.4353665066126613
238,0,1,2,1,38.0,1.0606978403536116
239,0,1,2,1,66.0,1.1230345297535067
240,0,0,0,2,84.0,1.1890465283525415
241,1,0,1,2,84.0,1.2174839442139063
242,0,1,2,1,58.0,1.0606978403536116
243,0,1,2,1,66.0,0.909823369650912
244,0,1,0,1,90.0,0.9151359066220119
245,0,1,1,3,44.0,1.9590413923210936
246,0,0,2,1,75.0,0.9432471251378617
247,1,0,2,3,48.0,1.1903316981702914
248,1,1,2,3,37.0,1.7287935361444735
249,0,1,2,2,108.0,1.4313637641589874
250,0,1,2,1,84.0,0.9164539485499251
251,0,0,2,3,87.0,1.0592793486780776
252,0,1,2,1,62.0,1.440121603187804
253,0,1,2,2,90.0,1.2329961103921538
254,0,0,2,3,123.0,1.326591855325732
255,1,0,0,3,87.0,1.2107411023865056
256,1,0,0,1,28.0,1.9041743682841634
257,1,0,2,1,30.0,1.9420080530223132
258,1,0,0,1,35.0,2.7103959691861146
259,1,0,2,2,100.0,1.4313637641589874
260,0,1,1,1,84.0,0.9420080530223133
261,1,1,2,7,9.0,1.5103774259938814
262,0,1,2,3,52.0,1.9066043717249803
263,0,1,2,1,40.0,0.0
264,0,0,1,1,84.0,0.9420080530223133
265,0,1,2,1,72.0,1.0606978403536116
266,0,1,2,6,48.0,1.6094610059122672
267,1,1,2,2,75.0,0.9432471251378617
268,1,0,2,2,58.0,2.1888230596841365
269,1,0,2,1,35.0,2.135556557645501
270,0,1,2,1,28.0,1.505149978319906
271,1,1,2,1,75.0,0.0
272,1,0,2,2,82.0,1.3117538610557542
273,0,1,0,2,37.0,1.4871383754771865
274,1,0,1,1,84.0,0.9420080530223133
275,1,0,2,2,63.0,1.8973977892491294
276,0,0,2,1,135.0,0.9420080530223133
277,0,1,2,1,56.0,0.0
278,0,1,1,6,21.0,1.4789270555829248
279,1,0,2,3,105.0,1.3273589343863303
280,0,1,1,1,195.0,0.9420080530223133
281,0,1,2,1,84.0,0.9471493276626374
282,0,1,2,1,48.0,1.021189299069938
283,1,1,2,1,57.0,0.9566485792052033
284,0,1,2,1,28.0,1.4313637641589874
285,0,1,0,1,99.0,0.9850895069263813
286,1,1,2,1,90.0,1.021189299069938
287,0,1,2,1,66.0,0.9491850103134346
288,1,1,2,1,84.0,1.146128035678238
289,1,0,1,1,66.0,0.9420080530223133
290,1,0,2,1,26.0,1.9022749204745018
291,1,0,0,2,19.0,1.9641615374126258
292,0,1,0,1,72.0,1.1422329917947138
293,0,0,2,1,72.0,0.9934362304976118
294,0,1,2,1,72.0,0.9491850103134346
295,0,1,0,1,28.0,1.458196532741108
296,0,1,0,1,70.5,0.9153576174148317
297,0,0,2,4,2.0,2.183412211978426
298,1,1,2,1,28.0,1.4983105537896004
299,1,0,0,2,50.0,2.3953627429574396
300,1,0,1,1,84.0,0.9420080530223133
301,1,1,1,3,84.0,1.3847117429382825
302,0,1,2,1,57.0,0.0
303,1,0,1,1,56.0,1.125481265700594
304,0,1,2,1,84.0,0.9566485792052033
305,1,1,2,4,0.92,2.183412211978426
306,1,0,0,1,28.0,2.048765267412167
307,1,0,0,2,17.0,2.0409976924234905
308,0,1,0,2,60.0,1.3979400086720377
309,1,0,0,1,30.0,1.7628975309505581
310,1,0,0,1,24.0,1.9250969541376577
311,1,0,0,5,18.0,2.4205745486161567
312,0,0,2,3,52.0,1.4313637641589874
313,0,1,2,1,84.0,0.9491850103134346
314,0,1,2,3,86.0,1.4353665066126613
315,1,0,2,1,78.0,0.9471493276626374
316,1,0,2,2,48.0,1.4313637641589874
317,0,1,2,1,108.0,1.1760912590556813
318,1,0,2,3,31.0,2.219759204240921
319,1,0,0,3,40.0,2.1319392952104246
320,0,1,2,1,66.0,0.9164539485499251
321,0,1,2,1,81.0,0.9491850103134346
322,1,0,1,1,60.0,1.125481265700594
323,1,0,2,3,44.0,1.4771212547196624
324,0,1,2,11,84.0,1.8484970180903666
325,1,0,0,1,36.0,2.135556557645501
326,0,1,2,1,183.0,0.8595885767354926
327,1,0,2,1,72.0,1.146128035678238
328,1,0,2,3,93.0,1.3329431601256923
329,1,0,0,2,16.0,1.770698877440231
330,1,0,1,3,84.0,1.3847117429382825
331,0,1,2,1,45.5,1.469822015978163
332,0,1,2,2,38.0,2.1888230596841365
333,0,1,2,3,48.0,1.2787536009528289
334,1,0,2,2,28.0,2.1292063577475293
335,0,1,2,1,84.0,0.9491850103134346
336,0,1,2,2,29.0,1.829946695941636
337,1,0,0,1,41.0,2.1319392952104246
338,1,1,2,1,135.0,0.9566485792052033
339,0,1,2,1,45.0,1.5622928644564746
340,1,1,2,3,4.0,1.4313637641589874
341,1,0,2,6,24.0,2.4216039268698313
342,0,1,2,1,56.0,1.146128035678238
343,0,1,2,1,50.0,1.146128035678238
344,0,1,2,1,72.0,1.146128035678238
345,1,0,2,1,48.0,1.146128035678238
346,1,0,2,1,80.0,1.146128035678238
347,1,0,2,2,84.0,1.2329961103921538
348,1,1,2,3,9.0,1.2278867046136734
349,0,1,2,1,126.0,0.9850895069263813
350,0,1,2,1,69.0,1.0096633166793794
351,0,1,2,1,28.0,1.5563025007672873
352,0,1,0,3,45.0,0.9153576174148317
353,0,1,2,2,75.0,1.2741578492636798
354,0,1,0,1,84.0,0.9151359066220119
355,0,1,2,1,84.0,1.021189299069938
356,1,0,2,2,22.0,1.7481880270062005
357,0,0,2,1,76.0,1.146128035678238
358,1,0,1,1,84.0,0.9483738383870792
359,1,0,1,1,84.0,0.9483738383870792
360,0,1,2,6,120.0,1.4608978427565478
361,0,1,0,2,58.0,1.458196532741108
362,0,0,0,2,135.0,1.1890465283525415
363,0,1,2,1,105.0,0.9057958803678685
364,0,1,1,2,84.0,1.2174839442139063
365,0,1,2,1,90.0,0.9164539485499251
366,1,0,0,2,60.0,1.8822398480188234
367,1,0,0,1,84.0,0.9153576174148317
368,1,0,1,1,84.0,0.9420080530223133
369,1,0,0,1,24.0,1.8469553250198238
370,1,1,0,2,25.0,1.7516000860444023
371,0,1,2,2,54.0,0.8748179903590257
372,0,1,2,1,57.0,0.9566485792052033
373,0,1,0,1,22.0,2.135556557645501
374,0,0,2,5,9.0,1.3439007122496063
375,1,0,0,2,28.0,1.9199708788780554
376,1,0,2,1,66.0,0.9164539485499251
377,0,1,0,3,27.0,2.3273589343863303
378,0,1,0,1,60.0,0.7000543856282387
379,0,1,2,1,57.0,0.9432471251378617
380,1,0,0,1,42.0,2.3589337176143736
381,1,0,0,3,3.0,1.2237995553975871
382,0,1,2,1,96.0,0.9506082247842308
383,1,0,2,2,35.0,1.724275869600789
384,0,1,2,1,84.0,0.9491850103134346
385,0,1,2,1,36.0,1.8721562727482928
386,0,1,2,8,3.0,1.6803355134145632
387,1,0,2,1,72.0,1.146128035678238
388,0,1,1,1,84.0,0.9409744439912912
389,1,0,0,1,34.0,1.1139433523068367
390,1,1,2,4,36.0,2.0827853703164503
391,1,1,2,1,63.0,0.9442753457587986
392,0,1,2,3,84.0,0.9506082247842308
393,1,0,0,2,23.0,2.0579512299613683
394,1,0,2,3,72.0,1.2479732663618066
395,0,1,2,1,66.0,0.9442753457587986
396,0,0,2,1,93.0,0.9471493276626374
397,0,1,2,1,92.0,1.4313637641589874
398,0,1,2,1,46.0,1.0606978403536116
399,1,0,2,1,56.0,1.1351326513767748
400,1,1,2,1,117.0,0.9506082247842308
401,0,1,2,1,78.0,0.9566485792052033
402,0,0,2,2,63.0,1.034427905025403
403,0,1,2,2,84.0,1.2265999052073575
404,0,0,2,1,60.0,0.9850895069263813
405,0,1,2,2,68.0,1.3424226808222062
406,0,1,2,1,153.0,0.9420080530223133
407,1,1,2,3,6.0,1.295567099962479
408,0,1,2,1,63.0,0.9432471251378617
409,0,0,2,5,84.0,1.4226997946774695
410,0,1,2,1,84.0,0.9491850103134346
411,0,1,1,1,84.0,0.8953286045034766
412,1,0,1,2,33.0,1.9590413923210936
413,0,1,2,1,56.0,0.0
414,1,1,2,1,132.0,0.9506082247842308
415,0,0,2,1,84.0,0.9566485792052033
416,1,0,2,3,68.0,1.5250448070368452
417,1,0,2,3,36.0,1.146128035678238
418,0,1,2,1,60.0,1.146128035678238
419,0,0,2,3,30.0,1.400537989391946
420,0,1,0,1,84.0,0.9491850103134346
421,0,1,1,1,63.0,0.9411783789843933
422,0,1,2,1,87.0,0.9481683617271317
423,0,0,2,3,84.0,1.187520720836463
424,0,1,2,3,54.0,1.326591855325732
425,0,1,2,1,84.0,0.9164539485499251
426,1,0,2,2,56.0,1.4313637641589874
427,1,0,2,1,38.0,1.4313637641589874
428,0,1,1,1,84.0,0.9420080530223133
429,1,1,2,1,96.0,0.9566485792052033
430,1,1,2,1,28.0,1.440121603187804
431,1,0,2,2,84.0,1.2329961103921538
432,1,0,2,2,84.0,1.4313637641589874
433,0,1,2,1,51.0,0.909823369650912
434,0,1,2,2,50.0,1.7551122663950711
435,1,0,2,4,14.0,2.0827853703164503
436,0,0,2,5,63.0,1.5486964485323467
437,1,0,2,6,48.0,1.295567099962479
438,0,1,2,6,64.0,2.4216039268698313
439,0,1,2,1,62.0,1.0606978403536116
440,1,0,2,3,90.0,1.4353665066126613
441,0,1,2,1,60.0,1.021189299069938
442,0,1,2,2,75.0,0.9432471251378617
443,1,0,2,1,56.0,1.146128035678238
444,1,1,2,1,84.0,0.9596375413260311
